client_id,secteur_activite,taille_entreprise,ca_annuel_k_euros,nb_salaries,region,type_contrat,date_signature,valeur_contrat_euros,statut_client,usage_mensuel_queries,satisfaction_score
CLI001,Juridique,PME,2500,25,Île-de-France,Pro,2023-03-15,2000,Actif,450,4.2
CLI002,Comptabilité,ETI,12000,85,Auvergne-Rhône-Alpes,Enterprise,2023-01-10,5500,Actif,1850,4.7
CLI003,Conseil RH,PME,800,12,Nouvelle-Aquitaine,Starter,2023-06-22,1200,Actif,180,3.8
CLI004,Architecture,PME,1500,18,Provence-Alpes-Côte d'Azur,Pro,2023-02-28,2000,Actif,320,4.1
CLI005,Ingénierie,ETI,8500,120,Hauts-de-France,Enterprise,2022-11-05,8500,Actif,2200,4.9
CLI006,Médical,PME,3200,45,Bretagne,Pro,2023-04-12,2000,Actif,580,4.3
CLI007,Immobilier,PME,950,8,Occitanie,Starter,2023-07-18,1200,Actif,95,3.5
CLI008,Finance,Grande entreprise,45000,350,Île-de-France,Enterprise,2022-09-20,12000,Actif,3500,4.8
CLI009,Technologie,Scale-up,5500,65,Île-de-France,Pro,2023-05-30,2000,Actif,890,4.6
CLI010,Formation,PME,420,6,Centre-Val de Loire,Starter,2023-08-15,1200,Actif,65,3.9
CLI011,Pharmaceutique,Grande entreprise,78000,1200,Île-de-France,Enterprise,2022-12-01,15000,Actif,4800,4.7
CLI012,Notariat,PME,1800,22,Normandie,Pro,2023-03-08,2000,Actif,380,4.0
CLI013,Expertise comptable,ETI,6200,75,Grand Est,Enterprise,2023-01-25,4500,Actif,1650,4.5
CLI014,Cabinet avocat,PME,2100,28,Pays de la Loire,Pro,2023-04-05,2000,Actif,520,4.2
CLI015,Startup Tech,Startup,350,15,Île-de-France,Starter,2023-09-12,1200,Trial,45,4.1
CLI016,Industrie auto,Grande entreprise,125000,2500,Hauts-de-France,Enterprise,2022-10-15,25000,Actif,8500,4.9
CLI017,Agence marketing,PME,980,12,Provence-Alpes-Côte d'Azur,Starter,2023-06-08,1200,Actif,150,3.6
CLI018,Bureau études,PME,1650,20,Auvergne-Rhône-Alpes,Pro,2023-02-14,2000,Actif,340,4.3
CLI019,Société service,ETI,15000,180,Île-de-France,Enterprise,2023-01-30,7500,Actif,2800,4.6
CLI020,Cabinet audit,ETI,8800,95,Île-de-France,Enterprise,2022-11-22,6500,Actif,1950,4.4
CLI021,Éditeur logiciel,Scale-up,4200,48,Nouvelle-Aquitaine,Pro,2023-05-17,2000,Actif,720,4.5
CLI022,Laboratoire recherche,PME,2800,35,Occitanie,Pro,2023-03-25,2000,Actif,480,4.1
CLI023,Clinique privée,ETI,18000,250,Provence-Alpes-Côte d'Azur,Enterprise,2022-12-08,9500,Actif,3200,4.8
CLI024,Cabinet gestion patrimoine,PME,1200,15,Bretagne,Pro,2023-07-03,2000,Actif,280,3.9
CLI025,Société consulting,PME,890,10,Grand Est,Starter,2023-08-28,1200,Actif,120,3.7
CLI026,Entreprise BTP,ETI,22000,185,Hauts-de-France,Enterprise,2023-02-10,11000,Actif,2100,4.6
CLI027,Cabinet recrutement,PME,750,8,Centre-Val de Loire,Starter,2023-09-05,1200,Trial,35,4.0
CLI028,Société négoce,PME,3500,42,Normandie,Pro,2023-04-18,2000,Actif,620,4.2
CLI029,Groupe communication,ETI,12500,145,Île-de-France,Enterprise,2022-10-30,8000,Actif,2650,4.7
CLI030,Cabinet expertise technique,PME,1950,24,Pays de la Loire,Pro,2023-06-12,2000,Actif,410,4.1
CLI031,Société transport,ETI,9500,120,Auvergne-Rhône-Alpes,Enterprise,2023-01-15,5500,Actif,1750,4.3
CLI032,Agence immobilière,PME,680,9,Occitanie,Starter,2023-07-25,1200,Actif,85,3.4
CLI033,Cabinet orthodontie,PME,1400,18,Provence-Alpes-Côte d'Azur,Pro,2023-05-08,2000,Actif,295,4.0
CLI034,Société événementiel,PME,520,7,Nouvelle-Aquitaine,Starter,2023-08-14,1200,Actif,75,3.8
CLI035,Entreprise textile,ETI,16000,220,Grand Est,Enterprise,2022-11-12,9000,Actif,2400,4.5
CLI036,Cabinet vétérinaire,PME,850,11,Bretagne,Starter,2023-09-20,1200,Trial,25,4.2
CLI037,Société maintenance,PME,2200,28,Hauts-de-France,Pro,2023-03-30,2000,Actif,485,4.1
CLI038,Groupe hôtelier,Grande entreprise,58000,850,Provence-Alpes-Côte d'Azur,Enterprise,2022-09-15,18000,Actif,5200,4.8
CLI039,Cabinet kinésithérapeute,PME,420,5,Centre-Val de Loire,Starter,2023-08-07,1200,Actif,45,3.9
CLI040,Société énergie,ETI,25000,280,Île-de-France,Enterprise,2022-12-20,12500,Actif,3800,4.6
CLI041,Agence web,PME,650,8,Normandie,Starter,2023-06-28,1200,Actif,95,3.6
CLI042,Cabinet psychologue,PME,320,4,Pays de la Loire,Starter,2023-09-15,1200,Trial,15,4.1
CLI043,Société sécurité,ETI,14000,185,Île-de-France,Enterprise,2023-02-05,8500,Actif,2300,4.4
CLI044,Bureau traduction,PME,480,6,Auvergne-Rhône-Alpes,Starter,2023-07-12,1200,Actif,65,3.8
CLI045,Entreprise agroalimentaire,Grande entreprise,89000,1400,Bretagne,Enterprise,2022-10-25,22000,Actif,6500,4.9
CLI046,Cabinet podologue,PME,380,5,Occitanie,Starter,2023-08-30,1200,Actif,35,4.0
CLI047,Société robotique,Scale-up,6800,78,Île-de-France,Enterprise,2023-04-22,4500,Actif,1450,4.7
CLI048,Agence publicité,PME,1100,14,Provence-Alpes-Côte d'Azur,Pro,2023-05-25,2000,Actif,245,3.9
CLI049,Cabinet ostéopathe,PME,290,3,Nouvelle-Aquitaine,Starter,2023-09-08,1200,Trial,18,4.2
CLI050,Société logistique,ETI,35000,420,Hauts-de-France,Enterprise,2022-11-18,15000,Actif,4200,4.8